 Parton Distribution Table : CTEQ4F3                               
  Ordr, Nfl, lambda        Qmass 1,  2,  3,         4,  5,  6
    2.    3. 0.3850    0.000    0.000    0.200    1.600    5.000  180.000
   NX,  NT,  NfMx
   90   13    3
QINI, QMAX, (QV(I), I =0, NT)
 3.79395E-04 2.19310E-04 1.21148E-04 6.34502E-05 3.11885E-05 1.42174E-05
 5.86988E-06 2.15618E-06 6.76529E-07 1.71193E-07 3.17285E-08 3.59517E-09
 1.66000E-10 8.53266E-13 0.00000E+00 1.74321E+05 1.35668E+05 1.04276E+05
 8.01433E+04 6.16012E+04 4.73463E+04 3.63932E+04 2.79724E+04 2.15020E+04
 1.65274E+04 1.27049E+04 9.76598E+03 7.50768E+03 5.77136E+03 4.43713E+03
 3.41127E+03 2.62296E+03 2.01682E+03 1.55103E+03 1.19287E+03 9.17637E+02
 7.05985E+02 5.43323E+02 4.18227E+02 3.22072E+02 2.48115E+02 1.91267E+02
 1.46988E+02 1.13488E+02 8.76996E+01 6.78571E+01 5.25732E+01 4.08028E+01
 3.17511E+01 2.47528E+01 1.93498E+01 1.51764E+01 1.19449E+01 9.43972E+00
 7.49024E+00 5.97188E+00 4.78199E+00 3.84655E+00 3.10703E+00 2.51973E+00
 2.05033E+00 1.67459E+00 1.36888E+00 1.12212E+00 9.19331E-01 7.53749E-01
 6.17463E-01 5.05061E-01 4.12160E-01 3.35347E-01 2.71824E-01 2.19369E-01
 1.76134E-01 1.40617E-01 1.11543E-01 8.78598E-02 6.86711E-02 5.32170E-02
 4.09106E-02 3.10838E-02 2.33570E-02 1.73405E-02 1.27046E-02 9.17455E-03
 6.52033E-03 4.55323E-03 3.11768E-03 2.08832E-03 1.36319E-03 8.68236E-04
 5.33491E-04 3.15286E-04 1.77613E-04 9.40402E-05 4.56989E-05 1.93255E-05
 6.13985E-06 2.93196E-07 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 2.28209E+05 1.76829E+05
 1.35225E+05 1.03398E+05 7.90692E+04 6.04571E+04 4.62300E+04 3.53465E+04
 2.70275E+04 2.06638E+04 1.57999E+04 1.20794E+04 9.23588E+03 7.06092E+03
 5.39876E+03 4.12744E+03 3.15594E+03 2.41290E+03 1.84513E+03 1.41089E+03
 1.07910E+03 8.25360E+02 6.31477E+02 4.83197E+02 3.69889E+02 2.83230E+02
 2.17024E+02 1.65750E+02 1.27191E+02 9.76794E+01 7.51110E+01 5.78285E+01
 4.46005E+01 3.44874E+01 2.67169E+01 2.07527E+01 1.61742E+01 1.26495E+01
 9.93368E+00 7.83234E+00 6.20561E+00 4.93799E+00 3.94735E+00 3.16860E+00
